"NAME","CONTACT_NAME","CONTACT_NUMBER_1","CONTACT_NUMBER_2","TOTAL_ORDERS","ORDER_TOTAL_AMOUNT"
"EMTELLO LTD","Megan Hembly","242-0641","5784-1698","1","21,000.00"
"MOTTOWAY CORP.","Stevens Seernah","5794-2513"," ","2","6,569,625.00"
"STUFFIE STATIONERY","Zenhir Belall","654-7416"," ","1","250,000.00"
"FIRELAND BROS.","Amelia Bridney","5948-0015"," ","1","36,800.00"
"SAFEDEST TAXI SERVICES","Steeve Narsimullu","5874-1002","217-4512","1","26,700.00"
"DIGISAY CO. LTD.","Berry Parker","5784-1266","602-8010","1","57,300.00"
"FOXY ELECTRONICS","Reddy Floyd","5284-5412"," ","1","182,700.00"
"LAMBONI STAT INC.","Frederic Pey","5255-7435"," ","6","57,600.00"
"JINFIX COMPUTERS","Jordan Liu Min","5841-2556","219-5412","1","85,200.00"
"PEGASUS LTD","Georges Neeroo","461-5841","5741-2545","2","275,000.00"
