SUPPLIER_NAME,SUPP_CONTACT_NAME,SUPP_ADDRESS,SUPP_CONTACT_NUM1,SUPP_CONTACT_NUM2,SUPP_EMAIL
FIRELAND BROS.,Amelia Bridney," Main court bldg, Nerling road, Moka, Mauritius",5948-0015, ,abridney@gmail.com
DIGISAY CO. LTD.,Berry Parker,"68, Marock Lane,  Vacoas, Mauritius",5784-1266,602-8010,bparker@intnet.mu
JINFIX COMPUTERS,Jordan Liu Min,"93, Bardeau lane,  Port Louis, Mauritius",5841-2556,219-5412,contactus@jinfixcomputers.com
FOXY ELECTRONICS,Reddy Floyd,"C47, Green Street,  Savanne, Mauritius",5284-5412, ,foxyelec@yahoo.fr
PEGASUS LTD,Georges Neeroo,"40, Ferney Way, Mission Road, Curepipe, Mauritius",461-5841,5741-2545,geonee@pegasus.mu
STUFFIE STATIONERY,Zenhir Belall,"67, Bistro Route, Heneral Street, Vacaoas, Mauritius",654-7416, ,info@sstat.com
LAMBONI STAT INC.,Frederic Pey,"9, Lamu Building, Stacy Street, Camp Hill, Pamplemousses",5255-7435, ,manustat@gmail.com
EMTELLO LTD,Megan Hembly,"998, Bistrop Street, Marlone, Pamplemousses, Mauritius",242-0641,5784-1698,mhem@my-t.mu
SAFEDEST TAXI SERVICES,Steeve Narsimullu," Le clezio street, Barbley wood, Highlands, Mauritius",5874-1002,217-4512,steeve.nar@safedest.mu
MOTTOWAY CORP.,Stevens Seernah,"B312, Cite la Cure, Jean XXIII Road, Port Louis, Mauritius",5794-2513, ,steseer@mottoway.com
